Epoch [1/200]: Training loss: 1576.967 | Validation loss: 411.720 || Training accuracy: 2.0 % | Validation accuracy: 3.5 %
Epoch [63/200]: Training loss: 42.246 | Validation loss: 1299.946 || Training accuracy: 94.7 % | Validation accuracy: 2.2 %
Epoch [64/200]: Training loss: 59.441 | Validation loss: 1318.768 || Training accuracy: 91.8 % | Validation accuracy: 2.2 %
Epoch [65/200]: Training loss: 75.398 | Validation loss: 1245.249 || Training accuracy: 90.1 % | Validation accuracy: 2.3 %
Epoch [66/200]: Training loss: 59.339 | Validation loss: 1260.283 || Training accuracy: 91.6 % | Validation accuracy: 1.7 %
Epoch [67/200]: Training loss: 48.605 | Validation loss: 1321.065 || Training accuracy: 93.5 % | Validation accuracy: 3.5 %
Epoch [68/200]: Training loss: 52.923 | Validation loss: 1310.063 || Training accuracy: 92.8 % | Validation accuracy: 1.8 %
Epoch [69/200]: Training loss: 57.447 | Validation loss: 1267.969 || Training accuracy: 91.8 % | Validation accuracy: 1.7 %
Epoch [70/200]: Training loss: 49.193 | Validation loss: 1336.256 || Training accuracy: 92.5 % | Validation accuracy: 2.8 %
Epoch [71/200]: Training loss: 43.972 | Validation loss: 1323.308 || Training accuracy: 93.7 % | Validation accuracy: 2.2 %
Epoch [72/200]: Training loss: 44.897 | Validation loss: 1311.330 || Training accuracy: 93.5 % | Validation accuracy: 2.5 %
Epoch [73/200]: Training loss: 59.249 | Validation loss: 1362.837 || Training accuracy: 91.7 % | Validation accuracy: 2.0 %
Epoch [74/200]: Training loss: 59.468 | Validation loss: 1282.556 || Training accuracy: 91.5 % | Validation accuracy: 2.0 %
Epoch [75/200]: Training loss: 47.214 | Validation loss: 1268.937 || Training accuracy: 93.8 % | Validation accuracy: 1.8 %
Epoch [76/200]: Training loss: 36.498 | Validation loss: 1296.892 || Training accuracy: 94.8 % | Validation accuracy: 1.3 %
Epoch [77/200]: Training loss: 52.189 | Validation loss: 1290.570 || Training accuracy: 93.6 % | Validation accuracy: 2.5 %
Epoch [78/200]: Training loss: 52.810 | Validation loss: 1358.089 || Training accuracy: 92.4 % | Validation accuracy: 2.2 %
Epoch [79/200]: Training loss: 47.141 | Validation loss: 1363.331 || Training accuracy: 93.2 % | Validation accuracy: 1.7 %
Epoch [80/200]: Training loss: 42.926 | Validation loss: 1311.367 || Training accuracy: 93.5 % | Validation accuracy: 2.3 %
Epoch [81/200]: Training loss: 39.233 | Validation loss: 1359.062 || Training accuracy: 95.3 % | Validation accuracy: 2.0 %
Epoch [82/200]: Training loss: 31.034 | Validation loss: 1321.710 || Training accuracy: 96.0 % | Validation accuracy: 2.0 %
Epoch [83/200]: Training loss: 38.384 | Validation loss: 1314.590 || Training accuracy: 95.1 % | Validation accuracy: 2.0 %
Epoch [84/200]: Training loss: 47.638 | Validation loss: 1366.042 || Training accuracy: 93.1 % | Validation accuracy: 1.7 %
Epoch [85/200]: Training loss: 51.056 | Validation loss: 1305.503 || Training accuracy: 93.4 % | Validation accuracy: 1.0 %
Epoch [86/200]: Training loss: 44.265 | Validation loss: 1322.492 || Training accuracy: 93.9 % | Validation accuracy: 2.2 %
Epoch [87/200]: Training loss: 35.237 | Validation loss: 1358.272 || Training accuracy: 95.7 % | Validation accuracy: 2.3 %
Epoch [88/200]: Training loss: 30.095 | Validation loss: 1343.379 || Training accuracy: 96.2 % | Validation accuracy: 1.8 %
Epoch [89/200]: Training loss: 22.648 | Validation loss: 1424.708 || Training accuracy: 97.4 % | Validation accuracy: 1.2 %
Epoch [90/200]: Training loss: 30.580 | Validation loss: 1455.082 || Training accuracy: 95.9 % | Validation accuracy: 1.5 %
Epoch [91/200]: Training loss: 32.701 | Validation loss: 1394.641 || Training accuracy: 94.9 % | Validation accuracy: 1.3 %
Epoch [92/200]: Training loss: 47.431 | Validation loss: 1351.065 || Training accuracy: 93.4 % | Validation accuracy: 0.8 %
Epoch [93/200]: Training loss: 38.913 | Validation loss: 1434.721 || Training accuracy: 94.0 % | Validation accuracy: 1.5 %
Epoch [94/200]: Training loss: 35.359 | Validation loss: 1374.471 || Training accuracy: 94.4 % | Validation accuracy: 1.5 %
Epoch [95/200]: Training loss: 59.414 | Validation loss: 1399.534 || Training accuracy: 92.0 % | Validation accuracy: 2.7 %
Epoch [96/200]: Training loss: 41.096 | Validation loss: 1358.136 || Training accuracy: 94.4 % | Validation accuracy: 1.7 %
Epoch [97/200]: Training loss: 29.605 | Validation loss: 1413.810 || Training accuracy: 95.7 % | Validation accuracy: 1.5 %
Epoch [98/200]: Training loss: 30.801 | Validation loss: 1356.351 || Training accuracy: 96.1 % | Validation accuracy: 1.2 %
Epoch [99/200]: Training loss: 30.653 | Validation loss: 1370.863 || Training accuracy: 95.2 % | Validation accuracy: 1.2 %
Epoch [100/200]: Training loss: 19.876 | Validation loss: 1390.804 || Training accuracy: 97.2 % | Validation accuracy: 2.2 %
Epoch [101/200]: Training loss: 19.727 | Validation loss: 1360.974 || Training accuracy: 97.2 % | Validation accuracy: 1.5 %
Epoch [102/200]: Training loss: 24.504 | Validation loss: 1450.688 || Training accuracy: 96.5 % | Validation accuracy: 1.2 %
Epoch [103/200]: Training loss: 40.394 | Validation loss: 1419.568 || Training accuracy: 94.6 % | Validation accuracy: 1.3 %
Epoch [104/200]: Training loss: 37.408 | Validation loss: 1449.989 || Training accuracy: 94.9 % | Validation accuracy: 1.8 %
Epoch [105/200]: Training loss: 32.459 | Validation loss: 1399.266 || Training accuracy: 95.6 % | Validation accuracy: 2.0 %
Epoch [106/200]: Training loss: 29.854 | Validation loss: 1398.413 || Training accuracy: 95.9 % | Validation accuracy: 2.0 %
Epoch [107/200]: Training loss: 28.751 | Validation loss: 1387.373 || Training accuracy: 95.8 % | Validation accuracy: 1.5 %
Epoch [108/200]: Training loss: 19.249 | Validation loss: 1379.172 || Training accuracy: 97.5 % | Validation accuracy: 2.3 %
Epoch [109/200]: Training loss: 19.851 | Validation loss: 1440.535 || Training accuracy: 97.3 % | Validation accuracy: 1.3 %
Epoch [110/200]: Training loss: 24.339 | Validation loss: 1482.945 || Training accuracy: 96.2 % | Validation accuracy: 1.2 %
Epoch [111/200]: Training loss: 44.116 | Validation loss: 1395.711 || Training accuracy: 93.9 % | Validation accuracy: 1.8 %
Epoch [112/200]: Training loss: 57.430 | Validation loss: 1425.577 || Training accuracy: 92.4 % | Validation accuracy: 2.0 %
Epoch [113/200]: Training loss: 27.984 | Validation loss: 1398.641 || Training accuracy: 95.9 % | Validation accuracy: 1.5 %
Epoch [114/200]: Training loss: 22.718 | Validation loss: 1426.969 || Training accuracy: 97.4 % | Validation accuracy: 1.8 %
Epoch [115/200]: Training loss: 17.320 | Validation loss: 1427.471 || Training accuracy: 97.8 % | Validation accuracy: 2.5 %
Epoch [116/200]: Training loss: 21.126 | Validation loss: 1451.816 || Training accuracy: 97.2 % | Validation accuracy: 2.5 %
Epoch [117/200]: Training loss: 18.258 | Validation loss: 1455.705 || Training accuracy: 97.7 % | Validation accuracy: 1.3 %
Epoch [118/200]: Training loss: 21.294 | Validation loss: 1425.163 || Training accuracy: 97.1 % | Validation accuracy: 1.5 %
Epoch [119/200]: Training loss: 22.136 | Validation loss: 1464.675 || Training accuracy: 97.0 % | Validation accuracy: 2.2 %
Epoch [120/200]: Training loss: 47.615 | Validation loss: 1429.883 || Training accuracy: 93.3 % | Validation accuracy: 2.0 %
Epoch [121/200]: Training loss: 27.374 | Validation loss: 1440.812 || Training accuracy: 96.4 % | Validation accuracy: 2.0 %
Epoch [122/200]: Training loss: 31.542 | Validation loss: 1439.449 || Training accuracy: 95.9 % | Validation accuracy: 2.2 %
Epoch [123/200]: Training loss: 24.459 | Validation loss: 1466.911 || Training accuracy: 96.4 % | Validation accuracy: 1.8 %
Epoch [124/200]: Training loss: 19.439 | Validation loss: 1425.907 || Training accuracy: 97.5 % | Validation accuracy: 2.3 %
Epoch [125/200]: Training loss: 17.244 | Validation loss: 1470.531 || Training accuracy: 97.4 % | Validation accuracy: 1.7 %
Epoch [126/200]: Training loss: 20.413 | Validation loss: 1427.771 || Training accuracy: 97.3 % | Validation accuracy: 2.5 %
Epoch [127/200]: Training loss: 21.084 | Validation loss: 1445.711 || Training accuracy: 97.3 % | Validation accuracy: 1.8 %
Epoch [128/200]: Training loss: 22.076 | Validation loss: 1454.415 || Training accuracy: 97.2 % | Validation accuracy: 1.0 %
Epoch [129/200]: Training loss: 32.276 | Validation loss: 1392.160 || Training accuracy: 95.5 % | Validation accuracy: 2.0 %
Epoch [130/200]: Training loss: 32.789 | Validation loss: 1400.037 || Training accuracy: 95.7 % | Validation accuracy: 2.0 %
Epoch [131/200]: Training loss: 26.685 | Validation loss: 1351.028 || Training accuracy: 96.5 % | Validation accuracy: 2.0 %
Epoch [132/200]: Training loss: 13.315 | Validation loss: 1486.882 || Training accuracy: 98.3 % | Validation accuracy: 1.3 %
Epoch [133/200]: Training loss: 24.932 | Validation loss: 1442.390 || Training accuracy: 96.5 % | Validation accuracy: 1.3 %
Epoch [134/200]: Training loss: 30.386 | Validation loss: 1419.233 || Training accuracy: 95.7 % | Validation accuracy: 1.3 %
Epoch [135/200]: Training loss: 32.516 | Validation loss: 1410.652 || Training accuracy: 95.6 % | Validation accuracy: 1.5 %
Epoch [136/200]: Training loss: 15.569 | Validation loss: 1425.280 || Training accuracy: 97.8 % | Validation accuracy: 1.3 %
Epoch [137/200]: Training loss: 12.771 | Validation loss: 1481.184 || Training accuracy: 98.4 % | Validation accuracy: 1.5 %
Epoch [138/200]: Training loss: 6.325 | Validation loss: 1462.898 || Training accuracy: 99.3 % | Validation accuracy: 1.3 %
Epoch [139/200]: Training loss: 13.682 | Validation loss: 1511.438 || Training accuracy: 98.3 % | Validation accuracy: 1.7 %
Epoch [140/200]: Training loss: 16.967 | Validation loss: 1531.142 || Training accuracy: 97.5 % | Validation accuracy: 0.8 %
Epoch [141/200]: Training loss: 37.990 | Validation loss: 1494.287 || Training accuracy: 94.4 % | Validation accuracy: 2.2 %
Epoch [142/200]: Training loss: 30.613 | Validation loss: 1513.662 || Training accuracy: 96.0 % | Validation accuracy: 2.3 %
Epoch [143/200]: Training loss: 33.730 | Validation loss: 1411.949 || Training accuracy: 94.9 % | Validation accuracy: 2.2 %
Epoch [144/200]: Training loss: 24.755 | Validation loss: 1497.374 || Training accuracy: 96.8 % | Validation accuracy: 2.3 %
Epoch [145/200]: Training loss: 19.514 | Validation loss: 1543.801 || Training accuracy: 97.3 % | Validation accuracy: 3.3 %
Epoch [146/200]: Training loss: 16.625 | Validation loss: 1464.843 || Training accuracy: 97.6 % | Validation accuracy: 1.5 %
Epoch [147/200]: Training loss: 11.577 | Validation loss: 1504.054 || Training accuracy: 98.8 % | Validation accuracy: 2.2 %
Epoch [148/200]: Training loss: 15.769 | Validation loss: 1462.537 || Training accuracy: 97.8 % | Validation accuracy: 2.5 %
Epoch [149/200]: Training loss: 28.098 | Validation loss: 1487.848 || Training accuracy: 96.1 % | Validation accuracy: 1.5 %
Epoch [150/200]: Training loss: 24.763 | Validation loss: 1416.326 || Training accuracy: 96.3 % | Validation accuracy: 2.0 %
Epoch [151/200]: Training loss: 30.001 | Validation loss: 1453.076 || Training accuracy: 95.9 % | Validation accuracy: 2.7 %
Epoch [152/200]: Training loss: 23.370 | Validation loss: 1462.507 || Training accuracy: 97.2 % | Validation accuracy: 2.8 %
Epoch [153/200]: Training loss: 19.153 | Validation loss: 1480.629 || Training accuracy: 97.2 % | Validation accuracy: 1.7 %
Epoch [154/200]: Training loss: 12.417 | Validation loss: 1479.983 || Training accuracy: 98.5 % | Validation accuracy: 2.2 %
Epoch [155/200]: Training loss: 12.016 | Validation loss: 1508.400 || Training accuracy: 98.7 % | Validation accuracy: 1.2 %
Epoch [156/200]: Training loss: 22.600 | Validation loss: 1453.031 || Training accuracy: 96.8 % | Validation accuracy: 1.8 %
Epoch [157/200]: Training loss: 12.564 | Validation loss: 1517.417 || Training accuracy: 98.2 % | Validation accuracy: 2.3 %
Epoch [158/200]: Training loss: 15.017 | Validation loss: 1539.051 || Training accuracy: 97.4 % | Validation accuracy: 2.2 %
Epoch [159/200]: Training loss: 20.729 | Validation loss: 1550.475 || Training accuracy: 97.0 % | Validation accuracy: 2.3 %
Epoch [160/200]: Training loss: 15.114 | Validation loss: 1576.394 || Training accuracy: 97.5 % | Validation accuracy: 1.2 %
Epoch [161/200]: Training loss: 26.458 | Validation loss: 1562.405 || Training accuracy: 95.9 % | Validation accuracy: 2.3 %
Epoch [162/200]: Training loss: 33.465 | Validation loss: 1517.045 || Training accuracy: 95.4 % | Validation accuracy: 0.7 %
Epoch [163/200]: Training loss: 23.669 | Validation loss: 1449.538 || Training accuracy: 96.9 % | Validation accuracy: 1.3 %
Epoch [164/200]: Training loss: 19.198 | Validation loss: 1491.374 || Training accuracy: 96.9 % | Validation accuracy: 2.2 %
Epoch [165/200]: Training loss: 12.423 | Validation loss: 1520.603 || Training accuracy: 98.3 % | Validation accuracy: 2.2 %
Epoch [166/200]: Training loss: 12.387 | Validation loss: 1459.473 || Training accuracy: 98.5 % | Validation accuracy: 2.0 %
Epoch [167/200]: Training loss: 6.415 | Validation loss: 1515.460 || Training accuracy: 99.0 % | Validation accuracy: 1.3 %
Epoch [168/200]: Training loss: 4.444 | Validation loss: 1577.694 || Training accuracy: 99.3 % | Validation accuracy: 2.3 %
Epoch [169/200]: Training loss: 6.818 | Validation loss: 1522.874 || Training accuracy: 99.1 % | Validation accuracy: 1.0 %
Epoch [170/200]: Training loss: 10.364 | Validation loss: 1551.892 || Training accuracy: 98.8 % | Validation accuracy: 1.5 %
Epoch [171/200]: Training loss: 41.043 | Validation loss: 1521.230 || Training accuracy: 94.5 % | Validation accuracy: 3.0 %
Epoch [172/200]: Training loss: 39.371 | Validation loss: 1479.011 || Training accuracy: 94.9 % | Validation accuracy: 2.3 %
Epoch [173/200]: Training loss: 15.489 | Validation loss: 1434.006 || Training accuracy: 97.8 % | Validation accuracy: 2.0 %
Epoch [174/200]: Training loss: 11.518 | Validation loss: 1509.026 || Training accuracy: 98.3 % | Validation accuracy: 2.3 %
Epoch [175/200]: Training loss: 6.615 | Validation loss: 1512.153 || Training accuracy: 99.1 % | Validation accuracy: 2.0 %
Epoch [176/200]: Training loss: 1.649 | Validation loss: 1536.687 || Training accuracy: 99.8 % | Validation accuracy: 2.2 %
Epoch [177/200]: Training loss: 7.133 | Validation loss: 1505.657 || Training accuracy: 99.1 % | Validation accuracy: 2.2 %
Epoch [178/200]: Training loss: 7.582 | Validation loss: 1565.227 || Training accuracy: 99.0 % | Validation accuracy: 1.3 %
Epoch [179/200]: Training loss: 30.223 | Validation loss: 1467.746 || Training accuracy: 95.4 % | Validation accuracy: 2.3 %
Epoch [180/200]: Training loss: 29.461 | Validation loss: 1496.309 || Training accuracy: 95.9 % | Validation accuracy: 2.2 %
Epoch [181/200]: Training loss: 18.330 | Validation loss: 1508.405 || Training accuracy: 97.6 % | Validation accuracy: 2.8 %
Epoch [182/200]: Training loss: 25.295 | Validation loss: 1482.473 || Training accuracy: 97.0 % | Validation accuracy: 1.7 %
Epoch [183/200]: Training loss: 13.845 | Validation loss: 1518.240 || Training accuracy: 98.4 % | Validation accuracy: 1.7 %
Epoch [184/200]: Training loss: 11.929 | Validation loss: 1487.162 || Training accuracy: 98.3 % | Validation accuracy: 1.7 %
Epoch [185/200]: Training loss: 23.994 | Validation loss: 1495.326 || Training accuracy: 96.3 % | Validation accuracy: 1.7 %
Epoch [186/200]: Training loss: 21.632 | Validation loss: 1516.129 || Training accuracy: 97.1 % | Validation accuracy: 2.0 %
Epoch [187/200]: Training loss: 11.523 | Validation loss: 1497.461 || Training accuracy: 98.4 % | Validation accuracy: 2.7 %
Epoch [188/200]: Training loss: 6.640 | Validation loss: 1529.678 || Training accuracy: 99.0 % | Validation accuracy: 3.0 %
Epoch [189/200]: Training loss: 8.666 | Validation loss: 1523.421 || Training accuracy: 98.8 % | Validation accuracy: 1.7 %
Epoch [190/200]: Training loss: 14.666 | Validation loss: 1532.296 || Training accuracy: 98.0 % | Validation accuracy: 2.2 %
Epoch [191/200]: Training loss: 28.904 | Validation loss: 1553.744 || Training accuracy: 95.4 % | Validation accuracy: 3.0 %
Epoch [192/200]: Training loss: 19.164 | Validation loss: 1500.137 || Training accuracy: 97.3 % | Validation accuracy: 2.5 %
Epoch [193/200]: Training loss: 24.312 | Validation loss: 1528.592 || Training accuracy: 96.5 % | Validation accuracy: 2.0 %
Epoch [194/200]: Training loss: 13.960 | Validation loss: 1477.245 || Training accuracy: 98.1 % | Validation accuracy: 2.0 %
Epoch [195/200]: Training loss: 8.547 | Validation loss: 1494.053 || Training accuracy: 98.8 % | Validation accuracy: 2.5 %
Epoch [196/200]: Training loss: 3.280 | Validation loss: 1560.141 || Training accuracy: 99.6 % | Validation accuracy: 2.0 %
Epoch [197/200]: Training loss: 2.159 | Validation loss: 1552.146 || Training accuracy: 99.6 % | Validation accuracy: 2.3 %
Epoch [198/200]: Training loss: 3.262 | Validation loss: 1518.541 || Training accuracy: 99.5 % | Validation accuracy: 2.3 %
Epoch [199/200]: Training loss: 6.024 | Validation loss: 1556.826 || Training accuracy: 99.4 % | Validation accuracy: 2.8 %
Epoch [200/200]: Training loss: 36.265 | Validation loss: 1597.157 || Training accuracy: 95.2 % | Validation accuracy: 1.8 %
